iso3,name,capital,region,income_level,latitude,longitude,population,population_density,area_km2,urban_pct,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,unemployment_pct,life_expectancy_years,internet_users_pct
TCD,Chad,N'Djamena,Sub-Saharan Africa ,Low income,12.1048,15.0445,20299123,15.342331639136,1284000,26.9315292389497,19906706689.7582,980.668312111718,4.95210484607125,8.89950732263754,1.053,55.238,12.62689972
TGO,Togo,Lome,Sub-Saharan Africa ,Lower middle income,6.1228,1.2255,8406558,151.201507630079,56790,43.8148491605996,10643440332.2445,1266.08777721447,6.52651376797853,2.86262074089801,1.948,62.935,39.48320007
THA,Thailand,Bangkok,East Asia & Pacific,Upper middle income,13.7308,100.521,71668011,140.348088629646,513115.021,61.8689338391321,529385520941.539,7386.63615126055,2.94859986593323,0.398333333333422,0.781,76.564,90.86718789
TJK,Tajikistan,Dushanbe,Europe & Central Asia,Lower middle income,38.5878,68.7864,10590927,74.8598530153469,141379,26.1788063651548,14425113699.7925,1362.02559981695,8.39999980983981,,7.041,71.927,55.79339981
TKM,Turkmenistan,Ashgabat,Europe & Central Asia,Upper middle income,37.9509,58.3794,7494498,15.6713510522844,491209,47.0875253910294,44249447717.2312,5904.25772576512,6.28235647996578,,4.02,70.201,
TLS,Timor-Leste,Dili,East Asia & Pacific,Lower middle income,-8.56667,125.567,1400638,93.0925353059852,14870,28.6641074179574,1865608515.41321,1331.9705130185,-9.10069289810397,2.06284153005468,1.523,67.904,35.04199982
TON,Tonga,Nuku'alofa,East Asia & Pacific,Upper middle income,-21.136,-175.216,104175,145.273611111111,750,21.1505271125521,647488243.847291,6215.38990974121,1.71653807667747,3.18188924237472,1.965,73.07,67.4417038
TTO,Trinidad and Tobago,Port-of-Spain,Latin America & Caribbean ,High income,10.6596,-61.4789,1368333,266.571150097466,5130,53.961056681951,25633544529.4849,18733.4110406494,2.50920813979569,0.526884625776839,3.318,73.617,82.15989685
TUN,Tunisia,Tunis,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,36.7899,10.21,12277109,78.530065653965,163610,70.3585355691955,51412122479.8468,4187.64079392362,1.61444564976986,7.20661657168794,15.341,76.711,76.5
TUR,Turkiye,Ankara,Europe & Central Asia,Upper middle income,39.7153,32.3606,85518661,110.866214934449,785350,89.3443122873887,1359123768774.12,15892.7157287241,3.3276230893799,58.5064507300342,8.8,77.421,87.3078767
TUV,Tuvalu,Funafuti,East Asia & Pacific,Upper middle income,-8.6314877,179.089567,9646,327.2,30,64.7254793441291,56752265.8012166,5883.50257114002,3.38983050847457,,,67.259,
TZA,Tanzania,Dodoma,Sub-Saharan Africa ,Lower middle income,-6.17486,35.7382,68560157,75.2061481146986,947300,36.1684458862992,79235713444.9777,1192.60668945313,5.5263138305945,3.05694676312373,1.557,67.212,31.16209984
UGA,Uganda,Kampala,Sub-Saharan Africa ,Low income,0.314269,32.5729,50015092,242.65210951526,241550,31.2777698213557,53911907079.0485,1077.91278438613,6.05558075875589,3.32338033691819,2.74,68.487,8.949831061
UKR,Ukraine,Kiev,Europe & Central Asia,Upper middle income,50.4536,30.5038,37860221,65.1239834311357,603550,69.5315643200148,190833835445.1,5391.62255859375,3.24811808426423,6.50198464669254,9.834,74.692,82.47489929
URY,Uruguay,Montevideo,Latin America & Caribbean ,High income,-34.8941,-56.0675,3386588,19.3582504856588,176220,95.5981951588181,82322859144.2816,24308.4954958447,3.32575905957381,4.84914366613156,8.209,78.287,91.99109007
